(﹁じ)/る/ら,–ら筿祇布秨ミ计秖,筿祇布–ら更ㄣ筿祇布ㄏノ计秖,筿祇布–ら秘计秖,稲み絏–ら筿祇布ぇ秘计秖,呼潦穨–ら筿祇布秨ミ计秖
2015/10/14,"13,443,139","1,379,120","84,147","82,484","1,401"
2015/10/15,"14,108,642","1,433,290","91,699","90,184","10,236"
2015/10/16,"13,810,331","1,294,249","76,277","74,893","1,572"
2015/10/17,"13,718,345","1,154,877","73,107","71,810",551
2015/10/18,"13,670,174","1,030,133","56,567","55,340",370
2015/10/19,"13,718,556","1,185,746","75,214","74,167","1,000"
2015/10/20,"13,937,243","1,430,273","94,144","92,741","2,047"
2015/10/21,"13,000,728","1,337,744","86,196","84,783","2,105"
2015/10/22,"13,489,121","1,374,737","96,923","95,468",727
2015/10/23,"13,551,763","1,338,108","83,765","82,387","3,018"
2015/10/24,"13,612,102","1,062,955","67,353","66,266",700
2015/10/25,"13,762,835","1,108,915","62,910","61,860",368
2015/10/26,"14,180,306","1,174,613","78,134","76,758",860
2015/10/27,"14,124,733","1,509,749","82,388","80,467","2,065"
2015/10/28,"14,288,169","1,432,558","86,463","84,703","1,408"
2015/10/29,"11,644,893","1,181,792","99,529","98,124","1,382"
2015/10/30,"16,197,056","1,651,817","89,774","89,492","1,677"
2015/10/31,"13,772,359","1,150,489","75,256","75,217",825
2015/11/1,"13,288,320","1,001,522","49,680","49,658",458
2015/11/2,"13,665,176","1,235,527","77,506","77,433",786
2015/11/3,"13,788,225","1,343,975","87,073","87,032","10,737"
2015/11/4,"13,753,398","1,504,608","83,266","83,197","1,798"
2015/11/5,"14,169,972","1,385,932","87,255","87,119","1,346"
2015/11/6,"14,553,530","1,435,715","87,518","87,404","1,853"
2015/11/7,"14,359,407","1,304,373","78,525","78,492",22
2015/11/8,"13,539,366","1,041,661","59,655","59,594","1,101"
2015/11/9,"15,903,148","1,285,139","77,280","77,209",24
2015/11/10,"14,331,426","1,529,604","90,838","90,789","2,928"
2015/11/11,"14,086,340","1,416,070","103,302","103,148","4,118"
2015/11/12,"14,366,167","1,699,410","111,823","111,741","1,355"
